file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,innerclass,1,1,0,1,5,2,0,4,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,4,0,0,4,0,0,4,0,1,25,0,1,0,1,0,0,1,5,0,5,3,0,0,0,53,10,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,class,5,7,2,5,7,1,0,11,0,0.53333336,0.7,1.0,5,0,4,0,1,0,5,0,1,0,3,1,1,2,0,0,3,0,6,28,6,0,1,0,1,3,3,4,1,4,1,0,0,0,123,1025,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,innerclass,2,2,0,2,3,3,0,9,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,3,0,0,2,0,1,3,0,1,23,0,0,1,0,0,2,1,7,2,6,1,0,0,0,45,10,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\reflect\ConstructorUtilsTest.java,org.apache.commons.lang3.reflect.ConstructorUtilsTest$SubClass,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\time\FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$Rule,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\ClassUtilsTest.java,org.apache.commons.lang3.ClassUtilsTest$12Named,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\ValidateTest.java,org.apache.commons.lang3.ValidateTest$NotBlank$WithMessage,innerclass,3,3,0,3,8,1,0,7,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,19,0,6,0,6,0,0,0,4,31,0,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\reflect\TypeUtilsTest.java,org.apache.commons.lang3.reflect.TypeUtilsTest$And,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,class,16,24,8,16,82,1,0,56,160,0.7222222,0.42540324,0.42540324,36,11,30,4,0,2,32,0,0,0,5,3,0,5,0,0,4,0,26,278,31,11,17,2,5,5,12,36,31,12,4,0,0,0,294,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\CharSequenceUtilsTest.java,org.apache.commons.lang3.CharSequenceUtilsTest$TestData,innerclass,0,0,0,0,5,1,0,5,0,0.0,1.0,1.0,3,0,1,0,0,2,3,0,0,0,8,0,0,0,0,8,8,0,0,44,1,0,1,0,0,8,0,17,0,9,1,0,0,0,20,8,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\ValidateTest.java,org.apache.commons.lang3.ValidateTest$NotEmpty,innerclass,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\text\ExtendedMessageFormat.java,org.apache.commons.lang3.text.ExtendedMessageFormat,class,6,9,3,6,73,3,2,54,152,0.8571428,0.1969697,0.22727273,21,0,12,9,0,0,12,0,1,0,9,7,0,9,0,0,8,0,13,275,20,8,25,1,1,8,19,60,14,48,4,0,0,0,265,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\builder\DefaultToStringStyleTest.java,org.apache.commons.lang3.builder.DefaultToStringStyleTest,class,7,7,0,7,10,1,0,18,3,0.3,0.46666667,0.46666667,10,0,10,0,0,0,10,0,0,0,2,0,0,2,0,0,2,0,9,73,0,0,0,0,0,64,19,15,36,9,0,0,0,0,35,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\concurrent\CircuitBreakingException.java,org.apache.commons.lang3.concurrent.CircuitBreakingException,class,0,1,1,0,4,4,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,38,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\text\ExtendedMessageFormatTest.java,org.apache.commons.lang3.text.ExtendedMessageFormatTest$OtherExtendedMessageFormat,innerclass,1,1,0,1,1,4,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,10,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\concurrent\EventCountCircuitBreaker.java,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategyClosed,innerclass,3,3,0,3,3,2,0,3,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\reflect\TypeUtilsTest.java,org.apache.commons.lang3.reflect.AClass$CClass,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$Anonymous3,anonymous,1,1,0,1,2,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,2,0,1,0,0,0,0,0,6,-1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,6,-1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\builder\ReflectionDiffBuilder.java,org.apache.commons.lang3.builder.ReflectionDiffBuilder,class,7,9,2,7,10,1,0,14,0,0.25,1.0,1.0,4,0,2,2,0,0,2,0,0,0,3,0,0,3,0,0,3,0,5,38,5,1,1,1,0,1,1,3,1,3,3,0,0,0,102,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$Anonymous5,anonymous,1,1,0,1,2,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,2,0,0,0,0,0,0,0,6,-1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$Anonymous4,anonymous,1,1,0,1,2,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,2,0,0,0,0,0,0,0,6,-1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\reflect\MethodUtilsTest.java,org.apache.commons.lang3.reflect.MethodUtilsTest$PrivateInterface,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$Anonymous1,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,-1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\CharRangeTest.java,org.apache.commons.lang3.CharRangeTest,class,3,3,0,3,18,1,0,28,136,0.0,0.0,0.0,17,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,71,278,0,1,0,0,1,9,8,62,1,57,1,0,0,1,73,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\event\EventUtilsTest.java,org.apache.commons.lang3.event.EventUtilsTest,class,13,13,0,13,8,1,0,32,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,136,0,0,0,0,0,20,16,19,2,20,1,0,7,4,52,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\ValidateTest.java,org.apache.commons.lang3.ValidateTest$IsInstanceOf$WithMessageTemplate,innerclass,4,4,0,4,2,1,0,5,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,9,0,1,0,1,0,0,0,1,21,0,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\BooleanUtils.java,org.apache.commons.lang3.BooleanUtils,class,3,9,6,3,172,1,0,16,820,0.0,0.0,0.0,41,40,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,15,369,79,3,94,3,19,34,34,20,0,19,2,0,0,0,176,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\builder\StandardToStringStyle.java,org.apache.commons.lang3.builder.StandardToStringStyle,class,1,2,1,1,41,2,0,40,820,1.0,0.0,0.0,41,0,41,0,0,0,41,0,0,0,1,1,0,1,0,0,1,0,0,126,20,0,0,0,0,0,1,1,0,1,0,0,0,0,116,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\ArrayUtilsAddTest.java,org.apache.commons.lang3.ArrayUtilsAddTest,class,12,12,0,12,22,1,0,58,231,0.0,0.0,0.0,22,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,165,526,0,0,0,0,0,111,608,175,0,61,0,0,0,27,62,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\builder\SimpleToStringStyleTest.java,org.apache.commons.lang3.builder.SimpleToStringStyleTest,class,7,7,0,7,10,1,0,14,3,0.3,0.46666667,0.46666667,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,5,71,0,0,0,0,0,62,19,13,0,7,0,0,0,0,32,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\text\StrBuilderTest.java,org.apache.commons.lang3.text.StrBuilderTest$Anonymous1,anonymous,1,1,0,1,5,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,0,0,2,0,0,0,2,0,0,0,5,-1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\text\StrMatcher.java,org.apache.commons.lang3.text.StrMatcher$StringMatcher,innerclass,2,2,0,2,6,2,0,3,0,0.0,1.0,1.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,22,4,1,1,0,0,0,3,3,2,3,2,0,0,0,57,24,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\FunctionsTest.java,org.apache.commons.lang3.FunctionsTest$FailureOnOddInvocations,innerclass,2,2,0,2,4,1,0,1,3,0.6666667,0.0,0.0,3,2,0,1,0,2,2,0,0,0,1,1,0,1,0,0,0,0,2,16,1,0,1,0,0,1,2,1,2,2,1,0,0,0,12,9,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\tuple\MutablePairTest.java,org.apache.commons.lang3.tuple.MutablePairTest,class,3,3,0,3,13,1,0,36,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,21,90,0,2,0,0,0,37,17,23,0,21,1,0,0,0,46,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\builder\EqualsBuilder.java,org.apache.commons.lang3.builder.EqualsBuilder,class,16,24,8,16,168,1,0,67,73,0.80952376,0.46088195,0.84637266,42,10,34,4,1,3,38,0,0,0,7,1,0,7,0,0,1,0,26,474,91,11,58,3,3,2,10,56,0,32,4,0,0,0,326,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\tuple\MutableTripleTest.java,org.apache.commons.lang3.tuple.MutableTripleTest,class,3,3,0,3,10,1,0,36,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,22,75,0,0,0,0,0,61,11,13,0,13,0,0,0,0,36,1,0
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\StringUtilsContainsTest.java,org.apache.commons.lang3.StringUtilsContainsTest,class,4,4,0,4,25,1,0,20,141,0.71590906,0.19480519,0.19480519,22,0,22,0,0,0,22,0,0,0,4,4,0,4,0,0,4,0,204,309,0,3,0,0,0,194,49,35,18,35,2,0,0,0,56,1,0
