file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,"SemaphoreThread/4[org.apache.commons.lang3.concurrent.TimedSemaphore,java.util.concurrent.CountDownLatch,int,int]",true,59,1,4,4,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,false
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,run/0,false,72,1,1,0,1,4,4,13,0,1,0,4,0,0,1,0,1,0,0,1,1,0,3,0,0,0,26,1,0,true
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,TypeLiteral/0,true,90,3,4,0,4,1,8,4,0,0,0,8,0,0,0,0,0,0,2,0,2,0,0,0,0,0,12,4,0,true
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,equals/1[java.lang.Object],false,99,2,1,0,1,3,1,10,3,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,8,17,0,false
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,hashCode/0,false,116,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,false
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,getType/0,false,111,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,toString/0,false,121,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,"setCalendar/3[org.apache.commons.lang3.time.FastDateParser,java.util.Calendar,java.lang.String]",false,115,1,0,0,0,4,4,10,0,2,3,4,0,0,0,2,0,0,0,1,3,1,1,0,0,0,13,0,0,true
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,"CaseInsensitiveTextStrategy/3[int,java.util.Calendar,java.util.Locale]",true,99,3,4,1,3,1,6,10,0,1,3,6,0,0,0,0,0,0,2,1,4,1,0,0,0,0,27,0,0,true
C:\Users\Bruno\Documents\commons-lang-metrics\apache_commons_repo\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,toString/0,false,134,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,13,1,0,true
