Release,Metric,Coverage,Covered,Total,Missed
rel/commons-lang-3.17.0,INSTRUCTION,95.9274396878898,72289,75358,3069
rel/commons-lang-3.17.0,LINE,95.76070717131473,15383,16064,681
rel/commons-lang-3.17.0,COMPLEXITY,90.78947368421053,8556,9424,868
rel/commons-lang-3.17.0,METHOD,95.79302587176602,4258,4445,187
rel/commons-lang-3.17.0,BRANCH,92.21403724166154,9013,9774,761
rel/commons-lang-3.17.0,CLASS,98.73817034700315,313,317,4
rel/commons-lang-3.16.0,INSTRUCTION,95.96643564619347,72280,75318,3038
rel/commons-lang-3.16.0,LINE,95.79858085397734,15391,16066,675
rel/commons-lang-3.16.0,COMPLEXITY,90.86181277860327,8561,9422,861
rel/commons-lang-3.16.0,METHOD,95.94320486815415,4257,4437,180
rel/commons-lang-3.16.0,BRANCH,92.2235847128551,9025,9786,761
rel/commons-lang-3.16.0,CLASS,98.73817034700315,313,317,4
rel/commons-lang-3.15.0,INSTRUCTION,96.00794147823422,72053,75049,2996
rel/commons-lang-3.15.0,LINE,95.85939454590942,15326,15988,662
rel/commons-lang-3.15.0,COMPLEXITY,90.88969490078942,8520,9374,854
rel/commons-lang-3.15.0,METHOD,96.05922551252849,4217,4390,173
rel/commons-lang-3.15.0,BRANCH,92.22199509403107,9023,9784,761
rel/commons-lang-3.15.0,CLASS,98.73817034700315,313,317,4
rel/commons-lang-3.14.0,INSTRUCTION,95.84204915046087,71018,74099,3081
rel/commons-lang-3.14.0,LINE,95.70189770013823,15230,15914,684
rel/commons-lang-3.14.0,COMPLEXITY,90.44502617801047,8292,9168,876
rel/commons-lang-3.14.0,METHOD,95.87332053742801,3996,4168,172
rel/commons-lang-3.14.0,BRANCH,92.02522632489065,9047,9831,784
rel/commons-lang-3.14.0,CLASS,98.78048780487805,324,328,4
rel/commons-lang-3.13.0,INSTRUCTION,95.88583428789615,70315,73332,3017
rel/commons-lang-3.13.0,LINE,95.70774513544448,15051,15726,675
rel/commons-lang-3.13.0,COMPLEXITY,90.47197966176633,8185,9047,862
rel/commons-lang-3.13.0,METHOD,95.97560975609755,3935,4100,165
rel/commons-lang-3.13.0,BRANCH,92.05304821630513,8954,9727,773
rel/commons-lang-3.13.0,CLASS,99.05660377358491,315,318,3
rel/commons-lang-3.12.0,INSTRUCTION,95.27868852459017,69744,73200,3456
rel/commons-lang-3.12.0,LINE,94.85377180871093,15114,15934,820
rel/commons-lang-3.12.0,COMPLEXITY,88.58236685057989,7867,8881,1014
rel/commons-lang-3.12.0,METHOD,93.17460317460318,3522,3780,258
rel/commons-lang-3.12.0,BRANCH,91.70318725099602,9207,10040,833
rel/commons-lang-3.12.0,CLASS,92.4914675767918,271,293,22
rel/commons-lang-3.11,INSTRUCTION,95.18197763648323,69460,72976,3516
rel/commons-lang-3.11,LINE,94.5908547707403,15039,15899,860
rel/commons-lang-3.11,COMPLEXITY,88.29726974056871,7794,8827,1033
rel/commons-lang-3.11,METHOD,93.23671497584542,3474,3726,252
rel/commons-lang-3.11,BRANCH,91.23521812580742,9181,10063,882
rel/commons-lang-3.11,CLASS,92.75862068965517,269,290,21
commons-lang-3.17.0-RC1,INSTRUCTION,95.92213169139309,72285,75358,3073
commons-lang-3.17.0-RC1,LINE,95.75448207171314,15382,16064,682
commons-lang-3.17.0-RC1,COMPLEXITY,90.78947368421053,8556,9424,868
commons-lang-3.17.0-RC1,METHOD,95.79302587176602,4258,4445,187
commons-lang-3.17.0-RC1,BRANCH,92.21403724166154,9013,9774,761
commons-lang-3.17.0-RC1,CLASS,98.73817034700315,313,317,4
commons-lang-3.16.0-RC1,INSTRUCTION,95.96643564619347,72280,75318,3038
commons-lang-3.16.0-RC1,LINE,95.79858085397734,15391,16066,675
commons-lang-3.16.0-RC1,COMPLEXITY,90.8511993207387,8560,9422,862
commons-lang-3.16.0-RC1,METHOD,95.94320486815415,4257,4437,180
commons-lang-3.16.0-RC1,BRANCH,92.21336603310853,9024,9786,762
commons-lang-3.16.0-RC1,CLASS,98.73817034700315,313,317,4
commons-lang-3.15.0-RC2,INSTRUCTION,96.00261162707031,72049,75049,3000
commons-lang-3.15.0-RC2,LINE,95.85313985489117,15325,15988,663
commons-lang-3.15.0-RC2,COMPLEXITY,90.88969490078942,8520,9374,854
commons-lang-3.15.0-RC2,METHOD,96.05922551252849,4217,4390,173
commons-lang-3.15.0-RC2,BRANCH,92.22199509403107,9023,9784,761
commons-lang-3.15.0-RC2,CLASS,98.73817034700315,313,317,4
commons-lang-3.15.0-RC1,INSTRUCTION,96.008047860788,72055,75051,2996
commons-lang-3.15.0-RC1,LINE,95.85965351178936,15327,15989,662
commons-lang-3.15.0-RC1,COMPLEXITY,90.912,8523,9375,852
commons-lang-3.15.0-RC1,METHOD,96.06012297882032,4218,4391,173
commons-lang-3.15.0-RC1,BRANCH,92.24243663123467,9025,9784,759
commons-lang-3.15.0-RC1,CLASS,98.73817034700315,313,317,4
commons-lang-3.14.0-RC1,INSTRUCTION,95.83665096694962,71014,74099,3085
commons-lang-3.14.0-RC1,LINE,95.69561392484604,15229,15914,685
commons-lang-3.14.0-RC1,COMPLEXITY,90.45593368237347,8293,9168,875
commons-lang-3.14.0-RC1,METHOD,95.87332053742801,3996,4168,172
commons-lang-3.14.0-RC1,BRANCH,92.03539823008849,9048,9831,783
commons-lang-3.14.0-RC1,CLASS,98.78048780487805,324,328,4
commons-lang-3.13.0-RC1,INSTRUCTION,95.88583428789615,70315,73332,3017
commons-lang-3.13.0-RC1,LINE,95.70774513544448,15051,15726,675
commons-lang-3.13.0-RC1,COMPLEXITY,90.44987288603957,8183,9047,864
commons-lang-3.13.0-RC1,METHOD,95.97560975609755,3935,4100,165
commons-lang-3.13.0-RC1,BRANCH,92.03248689215584,8952,9727,775
commons-lang-3.13.0-RC1,CLASS,99.05660377358491,315,318,3
commons-lang-3.12.0-RC1,INSTRUCTION,95.27868852459017,69744,73200,3456
commons-lang-3.12.0-RC1,LINE,94.85377180871093,15114,15934,820
commons-lang-3.12.0-RC1,COMPLEXITY,88.5936268438239,7868,8881,1013
commons-lang-3.12.0-RC1,METHOD,93.17460317460318,3522,3780,258
commons-lang-3.12.0-RC1,BRANCH,91.71314741035856,9208,10040,832
commons-lang-3.12.0-RC1,CLASS,92.4914675767918,271,293,22
commons-lang-3.11-RC2,INSTRUCTION,95.1847182635387,69462,72976,3514
commons-lang-3.11-RC2,LINE,94.6034341782502,15041,15899,858
commons-lang-3.11-RC2,COMPLEXITY,88.30859861787697,7795,8827,1032
commons-lang-3.11-RC2,METHOD,93.23671497584542,3474,3726,252
commons-lang-3.11-RC2,BRANCH,91.2451555202226,9182,10063,881
commons-lang-3.11-RC2,CLASS,92.75862068965517,269,290,21
commons-lang-3.11-RC1,INSTRUCTION,95.11927912136069,69458,73022,3564
commons-lang-3.11-RC1,LINE,94.53836968135252,15042,15911,869
commons-lang-3.11-RC1,COMPLEXITY,88.26790360900554,7802,8839,1037
commons-lang-3.11-RC1,METHOD,93.12466559657571,3481,3738,257
commons-lang-3.11-RC1,BRANCH,91.2451555202226,9182,10063,881
commons-lang-3.11-RC1,CLASS,92.75862068965517,269,290,21
